Wall time,Step,Value
1507897583.1842377,180,64131.60546875
1507897583.7152865,181,64183.57421875
1507897584.229287,182,64221.34375
1507897584.738014,183,64196.92578125
1507897585.2533157,184,64061.33984375
1507897585.7684088,185,64252.32421875
1507897586.294243,186,64026.4609375
1507897586.8072443,187,64194.875
1507897587.3232427,188,64060.46875
1507897587.8402443,189,64015.33984375
1507897588.3552432,190,64150.265625
1507897588.8758721,191,64066.54296875
1507897589.3928723,192,63868.7734375
1507897589.930642,193,63788.234375
1507897590.4487252,194,63768.28125
1507897590.969752,195,63785.21484375
1507897591.5357533,196,64114.53125
1507897592.083753,197,63749.140625
1507897592.6087532,198,63994.85546875
1507897593.132774,199,63766.8359375
1507897593.6647737,200,63827.109375
1507897594.1887748,201,63656.359375
1507897594.7147741,202,63833.9375
1507897595.237775,203,63738.12890625
1507897595.7617743,204,63664.73828125
1507897596.294973,205,63643.0390625
1507897596.8132455,206,63494.7265625
1507897597.3352454,207,63641.6640625
1507897597.8582454,208,63474.41015625
1507897598.381246,209,63508.82421875
1507897598.9132745,210,63462.4921875
1507897599.434275,211,63464.6015625
1507897599.9552748,212,63463.40234375
1507897600.4765594,213,63407.5234375
1507897601.000559,214,63233.984375
1507897601.520559,215,63406.07421875
1507897602.0405707,216,63686.56640625
1507897602.5595212,217,63321.42578125
1507897603.0805216,218,63184.2578125
1507897603.601521,219,63251.71875
1507897604.1195216,220,63462.9453125
1507897604.6365228,221,63002.58203125
1507897605.1745412,222,62988.37109375
1507897605.6915405,223,62982.23828125
1507897606.2180066,224,62909.37890625
1507897606.7400062,225,62901.015625
1507897607.2600064,226,63062.4296875
1507897607.7830467,227,63076.453125
1507897608.3372364,228,62670.7890625
1507897608.8606248,229,63034.45703125
1507897609.378625,230,62789.6875
1507897609.8981233,231,62726.3125
1507897610.421123,232,63327.0390625
1507897610.9423993,233,62983.44921875
1507897611.5313997,234,62535.421875
1507897612.0773008,235,62453.1875
1507897612.6012998,236,62531.234375
1507897613.1443496,237,62761.03515625
1507897613.6645145,238,62845.15625
1507897614.1785164,239,62828.53515625
1507897614.6995163,240,62729.43359375
1507897615.2335436,241,62357.57421875
1507897615.7886074,242,62448.546875
1507897616.3056068,243,62293.671875
1507897616.8276086,244,62500.71875
1507897617.3416076,245,62263.61328125
1507897617.8586075,246,62095.13671875
1507897618.3767548,247,62299.203125
1507897618.8957546,248,62138.203125
1507897619.4137547,249,62059.1640625
1507897619.930763,250,62225.109375
1507897620.4537628,251,62020.90625
1507897620.9727623,252,62084.05078125
1507897621.4877634,253,61998.78125
1507897622.056821,254,61667.1796875
1507897622.5693052,255,61936.91796875
1507897623.0863047,256,61939.4453125
1507897623.6170478,257,62078.33203125
1507897624.1920133,258,61505.3125
1507897624.7142859,259,61582.80078125
1507897625.235285,260,61839.89453125
1507897625.750285,261,61705.91015625
1507897626.2648244,262,61717.5859375
1507897626.8442159,263,61566.38671875
1507897627.3582852,264,61419.57421875
1507897627.871285,265,61743.4609375
1507897628.3812854,266,61489.8515625
1507897628.898285,267,61321.3359375
1507897629.4082856,268,61347.81640625
1507897629.923648,269,61581.25
1507897630.4386487,270,61534.5390625
1507897630.9536479,271,61384.375
1507897631.4756956,272,61169.6875
1507897631.989695,273,61492.82421875
1507897632.505696,274,61450.40625
1507897633.0217836,275,61182.41015625
1507897633.543076,276,60953.203125
1507897634.0600746,277,61080.70703125
1507897634.573076,278,61185.703125
1507897635.089721,279,61394.9375
1507897635.6057198,280,61107.15625
1507897636.1187198,281,61104.51953125
1507897636.633721,282,60750.17578125
1507897637.1457205,283,60693.015625
1507897637.7421112,284,61071.6328125
1507897638.265794,285,60752.47265625
1507897638.7805438,286,60554.828125
1507897639.2965448,287,60843.03125
1507897639.8296912,288,60721.33984375
1507897640.3436906,289,60580.37890625
1507897640.8596907,290,60493.9921875
1507897641.3756917,291,60336.51171875
1507897641.8949306,292,60589.91015625
1507897642.4749322,293,60732.98046875
1507897642.9933054,294,60515.82421875
1507897643.5123086,295,60408.953125
1507897644.0293086,296,60188.6796875
1507897644.5453084,297,60260.76171875
1507897645.0623093,298,60234.7890625
1507897645.5798233,299,60315.76953125
1507897646.0948794,300,60171.078125
1507897646.6058803,301,59942.9765625
1507897647.11888,302,60226.90234375
1507897647.6348803,303,60196.4609375
1507897648.147882,304,59952.35546875
1507897648.6618814,305,59963.37890625
1507897649.196128,306,59878.2734375
1507897649.707127,307,60113.69140625
1507897650.2223098,308,59878.18359375
1507897650.7510378,309,59759.8828125
1507897651.269038,310,59778.0078125
1507897651.7832327,311,59852.3828125
1507897652.3012621,312,59963.25
1507897652.8182764,313,59487.390625
1507897653.3372762,314,59608.48046875
1507897653.8592772,315,60041.16015625
1507897654.3692763,316,59424.0234375
1507897654.8972878,317,59338.58984375
1507897655.4116774,318,59455.8359375
1507897655.9491477,319,59260.92578125
1507897656.4641192,320,59741.96484375
1507897656.9921334,321,59199.859375
1507897657.5091324,322,59353.796875
1507897658.0291326,323,59437.96484375
1507897658.5461323,324,59477.98046875
1507897659.0608528,325,59241.4296875
1507897659.588853,326,59035.19921875
1507897660.1078532,327,59109.41796875
1507897660.625852,328,59066.33984375
1507897661.150903,329,59218.984375
1507897661.7214465,330,58836.83203125
1507897662.2514446,331,58927.59765625
1507897662.7644446,332,58722.80078125
1507897663.282017,333,58837.01171875
1507897663.797639,334,58782.67578125
1507897664.316639,335,58618.03515625
1507897664.8595634,336,58659.46484375
1507897665.374563,337,58813.88671875
1507897665.888563,338,58583.3828125
1507897666.4045632,339,58581.8046875
1507897666.9215636,340,58420.5859375
1507897667.4405634,341,58629.03125
1507897667.9796293,342,58289.0234375
1507897668.4973035,343,58147.59375
1507897669.0163026,344,58160.40234375
1507897669.5314202,345,58280.05078125
1507897670.0623286,346,58252.828125
1507897670.576328,347,57933.9296875
1507897671.0884712,348,58039.48046875
1507897671.6054704,349,58089.45703125
1507897672.1194701,350,57887.48828125
1507897672.637864,351,58022.62109375
1507897673.157119,352,57819.58984375
1507897673.7465265,353,57769.25
1507897674.2595272,354,57901.4453125
1507897674.7771523,355,57504.421875
1507897675.2901533,356,57759.25390625
1507897675.8141859,357,57804.7421875
1507897676.332186,358,57912.1796875
1507897676.8453183,359,57615.75
1507897677.3693185,360,57602.28125
1507897677.8803174,361,57613.39453125
1507897678.3953178,362,57746.39453125
1507897678.9089694,363,57521.22265625
1507897679.4229698,364,57487.453125
1507897679.9559698,365,57201.16015625
1507897680.5070188,366,57498.5703125
1507897681.0320184,367,57455.1953125
1507897681.5518317,368,57263.98046875
1507897682.0809128,369,57278.2578125
1507897682.5969129,370,57118.0078125
1507897683.1119132,371,57076.59765625
1507897683.6289132,372,57141.36328125
1507897684.149912,373,57095.9921875
1507897684.6650138,374,57167.94921875
1507897685.1810129,375,57169.38671875
1507897685.696014,376,57039.97265625
1507897686.220048,377,57012.07421875
1507897686.7420492,378,57023.171875
1507897687.261034,379,56766.421875
1507897687.777033,380,57042.296875
1507897688.2940335,381,56817.26171875
1507897688.814033,382,56804.91015625
1507897689.3300338,383,56923.53125
1507897689.8510337,384,56681.78515625
1507897690.3760326,385,56793.29296875
1507897690.8920765,386,56864.3125
1507897691.4080772,387,56817.98828125
1507897691.9240763,388,56579.91015625
1507897692.4410772,389,56703.1328125
1507897692.9551537,390,56199.21875
1507897693.4681542,391,56236.734375
1507897693.9851537,392,56348.17578125
1507897694.4993713,393,56376.4921875
1507897695.014043,394,56161.9140625
1507897695.5420556,395,56334.7421875
1507897696.059057,396,56198.46484375
1507897696.5720599,397,55886.6875
1507897697.1086352,398,56133.65625
1507897697.6396708,399,56068.7890625
1507897698.155672,400,56036.63671875
1507897698.6766717,401,56323.2734375
1507897699.1937234,402,55708.90625
1507897699.705321,403,56112.01171875
1507897700.218321,404,56141.10546875
1507897700.7315784,405,56033.5
1507897701.2435784,406,55943.3515625
1507897701.76158,407,55902.48828125
1507897702.2795792,408,55857.47265625
1507897702.7945797,409,55626.93359375
1507897703.310579,410,55778.72265625
1507897703.8255794,411,55799.0234375
1507897704.387581,412,55559.625
1507897704.91158,413,55540.84375
1507897705.4448805,414,55693.58984375
1507897705.96388,415,55223.12890625
1507897706.4788804,416,55465.40625
1507897706.9952161,417,55297.21875
1507897707.5102158,418,55325.48046875
1507897708.027217,419,55257.0625
1507897708.542216,420,55513.1328125
1507897709.0592165,421,55546.27734375
1507897709.574217,422,55044.39453125
1507897710.0882173,423,55231.51171875
1507897710.6082163,424,55182.265625
1507897711.1232176,425,55278.5234375
1507897711.6362178,426,55180.578125
1507897712.1522171,427,55066.484375
1507897712.6694946,428,55278.359375
1507897713.214301,429,55030.52734375
1507897713.7313032,430,54944.14453125
1507897714.2463026,431,54644.9609375
1507897714.77532,432,54945.546875
1507897715.3471594,433,54702.4453125
1507897715.9291608,434,54709.734375
1507897716.5391593,435,54798.91796875
1507897717.1311598,436,54849.5859375
1507897717.72216,437,54872.578125
1507897718.31916,438,54570.23046875
1507897718.92016,439,54696.125
1507897719.50516,440,54465.3515625
1507897720.11016,441,54569.01171875
1507897720.7121625,442,54460.6328125
1507897721.31116,443,54226.57421875
1507897721.85516,444,54455.5625
1507897722.383686,445,54342.47265625
1507897722.8981779,446,54453.13671875
1507897723.4121776,447,54483.78515625
1507897723.9321783,448,54252.60546875
1507897724.4511776,449,54247.8828125
1507897724.9665189,450,54237.66796875
1507897725.4805188,451,54208.16796875
1507897725.9975195,452,54301.40234375
1507897726.5945208,453,54059.43359375
1507897727.1435194,454,54156.94921875
1507897727.6715305,455,53923.22265625
1507897728.1920972,456,54019.109375
1507897728.7584481,457,54153.734375
1507897729.2791262,458,54305.7421875
1507897729.8001397,459,53863.04296875
1507897730.3176527,460,53988.6015625
1507897730.8336532,461,53870.4296875
1507897731.3486533,462,54112.234375
1507897731.8666532,463,53517.91015625
1507897732.3846438,464,53562.01171875
1507897732.8996441,465,53677.30078125
1507897733.414643,466,53615.7265625
1507897733.9457903,467,53449.421875
1507897734.4587905,468,53484.1953125
1507897734.9890828,469,53745.0234375
1507897735.5740826,470,53330.51953125
1507897736.0870817,471,53450.3828125
1507897736.606083,472,53323.6015625
1507897737.1227207,473,53247.734375
1507897737.6363153,474,53399.17578125
1507897738.1463158,475,52883.13671875
1507897738.6543162,476,53233.140625
1507897739.1706986,477,53477.50390625
1507897739.6901124,478,53357.34765625
1507897740.2011125,479,53289.62890625
1507897740.7135413,480,53223.07421875
1507897741.2305424,481,53213.58203125
1507897741.746747,482,53343.62890625
1507897742.2627482,483,53149.54296875
1507897742.7752335,484,53078.47265625
1507897743.2922323,485,53098.76953125
1507897743.8122325,486,52753.8515625
1507897744.3242319,487,53001.703125
1507897744.8402321,488,52757.7890625
1507897745.3562324,489,52982.81640625
1507897746.0506394,490,52697.0
1507897746.5878093,491,53111.76171875
1507897747.1039498,492,52987.6953125
1507897747.6233401,493,52527.62890625
1507897748.153399,494,52755.734375
1507897748.6723976,495,52682.8984375
1507897749.1883986,496,52474.8359375
1507897749.7043989,497,52404.3515625
1507897750.2183993,498,52422.51953125
1507897750.7433987,499,52522.56640625
